request_id,function_label,phase,timestamp_sent,timestamp_received,latency_ms,http_status,lambda_request_id,error,response_snippet,execution_ms,memory_used_mb,cost_usd
95,exp1-java-arm,warmup,1777022552.566942,1777022552.812026,245.08404731750488,200,7262cb4f-ec32-41ae-a074-abf8dbf59672,,,208.570,164.032,0.0000045911
16,exp1-java-arm,warmup,1777022548.6158972,1777022552.8885062,4272.608995437622,200,9cf8c13a-cf96-4a5c-95e3-69ed8d338524,,,230.450,164.032,0.0000050744
96,exp1-java-arm,warmup,1777022552.615641,1777022552.896241,280.59983253479004,200,c9a1f6d5-51ae-42ae-a634-0946996d88eb,,,241.480,165.939,0.0000053160
98,exp1-java-arm,warmup,1777022552.7157938,1777022552.968448,252.6540756225586,200,88f48a5e-1eb5-4f85-9b90-50494931e055,,,217.070,162.125,0.0000047888
63,exp1-java-arm,warmup,1777022550.9666612,1777022553.002501,2035.8397960662842,200,f7a02aca-5050-4e7e-9c44-5f664951734a,,,256.300,164.032,0.0000056455
14,exp1-java-arm,warmup,1777022548.517047,1777022553.019118,4502.071142196655,200,cc13196d-090a-4772-9823-52a23293557c,,,239.630,164.032,0.0000052721
99,exp1-java-arm,warmup,1777022552.766849,1777022553.03531,268.4609889984131,200,2851fabd-7fb9-4c5a-8211-97196d1fa7a2,,,234.610,164.032,0.0000051622
100,exp1-java-arm,warmup,1777022552.815534,1777022553.0662951,250.7610321044922,200,229fce6d-7ee2-4911-9732-54f1166dbb58,,,213.760,164.032,0.0000047009
24,exp1-java-arm,warmup,1777022549.016852,1777022553.0773408,4060.4889392852783,200,4d5d7b18-e82f-483f-9c45-dbb066b2c54a,,,224.010,164.032,0.0000049426
15,exp1-java-arm,warmup,1777022548.5658271,1777022553.10351,4537.682771682739,200,d70166b2-abb0-4689-af5b-c28d1cfca0c2,,,215.330,160.217,0.0000047449
101,exp1-java-arm,warmup,1777022552.8670368,1777022553.113469,246.43206596374512,200,d46f9021-3081-4c73-9a80-642b2b2ea2a5,,,211.290,165.939,0.0000046570
